<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.16	16:00:00	1.08740	1.08891	1.08666	1.08724	5215	0	0
2024.01.16	17:00:00	1.08727	1.08883	1.08658	1.08858	4025	0	0
2024.01.16	18:00:00	1.08861	1.08947	1.08622	1.08809	6703	0	0
2024.01.16	19:00:00	1.08811	1.08828	1.08628	1.08630	3782	0	0
2024.01.16	20:00:00	1.08630	1.08771	1.08629	1.08700	2539	0	0
2024.01.16	21:00:00	1.08700	1.08747	1.08678	1.08736	1852	0	0
2024.01.16	22:00:00	1.08736	1.08755	1.08700	1.08714	1923	0	0
2024.01.16	23:00:00	1.08718	1.08775	1.08714	1.08752	1034	0	0
2024.01.17	00:00:00	1.08700	1.08761	1.08620	1.08753	482	0	11
2024.01.17	01:00:00	1.08748	1.08786	1.08748	1.08786	461	0	0
2024.01.17	02:00:00	1.08786	1.08788	1.08724	1.08778	1162	0	0
2024.01.17	03:00:00	1.08778	1.08824	1.08734	1.08773	1713	0	0
2024.01.17	04:00:00	1.08773	1.08846	1.08740	1.08750	1277	0	0
2024.01.17	05:00:00	1.08749	1.08749	1.08652	1.08664	1098	0	0
2024.01.17	06:00:00	1.08663	1.08711	1.08648	1.08710	1146	0	0
2024.01.17	07:00:00	1.08708	1.08722	1.08608	1.08648	1559	0	0
2024.01.17	08:00:00	1.08650	1.08650	1.08555	1.08624	2075	0	0
2024.01.17	09:00:00	1.08623	1.08737	1.08586	1.08701	3755	0	0
2024.01.17	10:00:00	1.08701	1.08817	1.08662	1.08668	3562	0	0
2024.01.17	11:00:00	1.08668	1.08788	1.08610	1.08768	3130	0	0
2024.01.17	12:00:00	1.08763	1.08838	1.08671	1.08719	3062	0	0
2024.01.17	13:00:00	1.08718	1.08831	1.08698	1.08786	2394	0	0
2024.01.17	14:00:00	1.08786	1.08812	1.08694	1.08743	2285	0	0
2024.01.17	15:00:00	1.08743	1.08786	1.08514	1.08639	4848	0	0
2024.01.17	16:00:00	1.08640	1.08704	1.08479	1.08489	4608	0	0
2024.01.17	17:00:00	1.08489	1.08710	1.08446	1.08490	4820	0	0
2024.01.17	18:00:00	1.08490	1.08646	1.08476	1.08573	3562	0	0
2024.01.17	19:00:00	1.08578	1.08699	1.08569	1.08670	2750	0	0
2024.01.17	20:00:00	1.08669	1.08674	1.08566	1.08659	2694	0	0
2024.01.17	21:00:00	1.08660	1.08788	1.08659	1.08738	2286	0	0
2024.01.17	22:00:00	1.08738	1.08821	1.08703	1.08809	1864	0	0
2024.01.17	23:00:00	1.08809	1.08826	1.08808	1.08820	1025	0	0
2024.01.18	00:00:00	1.08809	1.08828	1.08792	1.08811	887	0	10
2024.01.18	01:00:00	1.08818	1.08861	1.08809	1.08861	552	0	0
2024.01.18	02:00:00	1.08861	1.08942	1.08803	1.08940	1368	0	0
2024.01.18	03:00:00	1.08940	1.09008	1.08918	1.08963	2364	0	0
2024.01.18	04:00:00	1.08960	1.09030	1.08931	1.08934	1428	0	0
2024.01.18	05:00:00	1.08934	1.08982	1.08906	1.08954	1355	0	0
2024.01.18	06:00:00	1.08953	1.08962	1.08912	1.08942	899	0	0
2024.01.18	07:00:00	1.08941	1.08962	1.08904	1.08950	1197	0	0
2024.01.18	08:00:00	1.08950	1.09068	1.08948	1.09040	1767	0	0
2024.01.18	09:00:00	1.09038	1.09064	1.08864	1.08882	2117	0	0
2024.01.18	10:00:00	1.08879	1.08890	1.08776	1.08798	2845	0	0
2024.01.18	11:00:00	1.08794	1.08994	1.08767	1.08846	2710	0	0
2024.01.18	12:00:00	1.08846	1.08960	1.08829	1.08951	2198	0	0
2024.01.18	13:00:00	1.08950	1.08954	1.08847	1.08891	2203	0	0
2024.01.18	14:00:00	1.08892	1.08940	1.08746	1.08775	2452	0	0
2024.01.18	15:00:00	1.08774	1.08776	1.08506	1.08525	4886	0	0
2024.01.18	16:00:00	1.08525	1.08690	1.08494	1.08596	5646	0	0
2024.01.18	17:00:00	1.08595	1.08680	1.08467	1.08521	5262	0	0
2024.01.18	18:00:00	1.08520	1.08700	1.08505	1.08618	3591	0	0
2024.01.18	19:00:00	1.08618	1.08644	1.08502	1.08596	2827	0	0
2024.01.18	20:00:00	1.08598	1.08659	1.08542	1.08638	2500	0	0
2024.01.18	21:00:00	1.08638	1.08691	1.08602	1.08618	2262	0	0
2024.01.18	22:00:00	1.08618	1.08695	1.08606	1.08692	1966	0	0
2024.01.18	23:00:00	1.08690	1.08776	1.08684	1.08757	933	0	0
2024.01.19	00:00:00	1.08714	1.08758	1.08585	1.08708	694	0	4
2024.01.19	01:00:00	1.08734	1.08805	1.08734	1.08800	626	0	0
2024.01.19	02:00:00	1.08800	1.08818	1.08778	1.08799	1328	0	0
2024.01.19	03:00:00	1.08803	1.08874	1.08762	1.08856	1749	0	0
2024.01.19	04:00:00	1.08854	1.08896	1.08826	1.08880	1355	0	0
2024.01.19	05:00:00	1.08880	1.08892	1.08854	1.08890	856	0	0
2024.01.19	06:00:00	1.08890	1.08894	1.08854	1.08864	594	0	0
2024.01.19	07:00:00	1.08864	1.08870	1.08796	1.08808	1089	0	0
2024.01.19	08:00:00	1.08804	1.08825	1.08754	1.08808	1517	0	0
